seed,label,h2d_bytes,d2h_bytes,h2d_calls,d2h_calls,h2d_s,d2h_s
55,step_conc_upload,11000000000,0,110,0,2.3106188930000005,0.0
55,step_agents,229943040,37365692,220,70,0.066835745,0.012898779999999999
55,chem_reactions,11000000000,11000000000,110,110,2.309383899,2.2674247829999996
55,chem_diffusion_result,0,11000000000,0,110,0.0,2.304102854
55,chem_host_fallback,0,0,0,0,0,0
55,qssa_toxin_host_sync,0,4000000000,0,40,0.0,0.818278663
55,qssa_toxin_robin_mix,0,0,0,0,0,0
55,qssa_toxin_zero,2400000000,0,24,0,0.504174138,0.0
55,qssa_fmm,5600005408,3200000000,96,32,1.177251289,0.652380628
55,greens_near_field,11904,640,64,80,0.000530536,0.000843689
55,greens_grid_download,0,0,0,0,0,0
55,receptor,68982816,5748568,20,10,0.016726592999999998,0.0020586099999999998
55,delivery,0,0,0,0,0,0
55,spatial_hash,21748648,5748568,60,20,0.008102751,0.002116811
55,mechanics,0,80,0,20,0.0,0.00026343
55,unattributed,1150278000,117849324,1290,200,0.33557487899999994,0.035579941
56,step_conc_upload,11000000000,0,110,0,2.329274174,0.0
56,step_agents,229745920,37333660,220,70,0.066169794,0.012747333000000001
56,chem_reactions,11000000000,11000000000,110,110,2.329134835,2.290399041
56,chem_diffusion_result,0,11000000000,0,110,0.0,2.3377087539999994
56,chem_host_fallback,0,0,0,0,0,0
56,qssa_toxin_host_sync,0,4000000000,0,40,0.0,0.8343985929999999
56,qssa_toxin_robin_mix,0,0,0,0,0,0
56,qssa_toxin_zero,3000000000,0,30,0,0.641319341,0.0
56,qssa_fmm,3500005824,2000000000,60,20,0.747045075,0.414628876
56,greens_near_field,16512,400,40,50,0.000320069,0.0005941490000000001
56,greens_grid_download,0,0,0,0,0,0
56,receptor,68923680,5743640,20,10,0.016890118,0.002006814
56,delivery,0,0,0,0,0,0
56,spatial_hash,21743720,5743640,60,20,0.008149093,0.00210552
56,mechanics,0,80,0,20,0.0,0.000265503
56,unattributed,1149292400,117748300,1290,200,0.338095133,0.035078171000000005
57,step_conc_upload,11000000000,0,110,0,2.344829894,0.0
57,step_agents,229437440,37283532,220,70,0.06727361300000001,0.012766023999999999
57,chem_reactions,11000000000,11000000000,110,110,2.3435737309999998,2.309058248
57,chem_diffusion_result,0,11000000000,0,110,0.0,2.3482940029999995
57,chem_host_fallback,0,0,0,0,0,0
57,qssa_toxin_host_sync,0,4000000000,0,40,0.0,0.8429387230000001
57,qssa_toxin_robin_mix,0,0,0,0,0,0
57,qssa_toxin_zero,2600000000,0,26,0,0.5561026949999999,0.0
57,qssa_fmm,4900007072,2800000000,84,28,1.046976634,0.581701729
57,greens_near_field,14976,560,56,70,0.00043662,0.000751213
57,greens_grid_download,0,0,0,0,0,0
57,receptor,68831136,5735928,20,10,0.017001497,0.002018223
57,delivery,0,0,0,0,0,0
57,spatial_hash,21736008,5735928,60,20,0.008131674,0.0021132659999999995
57,mechanics,0,80,0,20,0.0,0.000289644
57,unattributed,1147750000,117590204,1290,200,0.340279425,0.034887754
