record_type,medium,rho_cells_mL,D_m2_s,Cinf_uM,Km_uM,q_mol_cell_s,q_factor,A10,A50,A90,A_dead_1e3,R10_um,R50_um,R90_um,Rdead_1e3_um,R_Da1_um,depletion_at_Da1,eta_at_Da1,planar_C_over_Cinf_1e3_um
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,0.1,8.330000000000001e-20,0.1,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,110.7552415092485,249.19172181163103,343.6701353252604,420.5806963750618,244.99797877501265,0.48369175286437305,0.9876143734075993,461.27710408285435
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,0.1,8.33e-19,1.0,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,35.02388259712501,78.80134149838143,108.67803914061146,132.9992940444918,77.47516350666292,0.48369175286437305,0.9876143734075993,145.86862813883744
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,0.1,8.33e-18,10.0,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,11.075524150924851,24.919172181163106,34.36701353252604,42.05806963750618,24.499797877501265,0.48369175286437305,0.9876143734075993,46.12771040828543
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,0.5,8.330000000000001e-20,0.1,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,115.38846803832998,265.3158043521505,399.3272043808039,667.0034393631065,244.99797877501265,0.43214701686656054,0.953647205634119,695.7890245469051
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,0.5,8.33e-19,1.0,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,36.48903747186639,83.900224099241,126.27834975109087,210.9250075553426,77.47516350666292,0.43214701686656054,0.953647205634119,220.0278088515026
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,0.5,8.33e-18,10.0,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,11.538846803832998,26.53158043521505,39.93272043808039,66.70034393631066,24.499797877501265,0.43214701686656054,0.953647205634119,69.5789024546905
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,1.0,8.330000000000001e-20,0.1,0.24364110921122342,1.3456837447979282,3.535307509271191,13.147707384714018,120.93103935377833,284.20649890789673,460.65532873182644,888.3569746045632,244.99797877501265,0.3858533129950865,0.9300583252085581,889.2681190404163
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,1.0,8.33e-19,1.0,0.24364110921122342,1.3456837447979282,3.535307509271191,13.147707384714018,38.241752416939626,89.87398623711105,145.6720055086176,280.92314150467786,77.47516350666292,0.3858533129950865,0.9300583252085581,281.21127067414636
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,1.0,8.33e-18,10.0,0.24364110921122342,1.3456837447979282,3.535307509271191,13.147707384714018,12.093103935377833,28.420649890789676,46.065532873182654,88.83569746045633,24.499797877501265,0.3858533129950865,0.9300583252085581,88.92681190404163
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,5.0,8.330000000000001e-20,0.1,0.418217826300986,2.731537170114002,10.672144755729535,59.331014997101875,158.43961254177603,404.9170450007915,800.3654910798547,1887.13682969511,244.99797877501265,0.22412473348462636,0.9010069021507336,1766.1623127749126
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,5.0,8.33e-19,1.0,0.418217826300986,2.731537170114002,10.672144755729535,59.331014997101875,50.103004722659215,128.04601256273975,253.09779124115184,596.7650638225825,77.47516350666292,0.22412473348462636,0.9010069021507336,558.5095625919424
factorial_sensitivity,oxygen,1000000000.0,1e-09,5.0,5.0,8.33e-18,10.0,0.418217826300986,2.731537170114002,10.672144755729535,59.331014997101875,15.843961254177605,40.49170450007915,80.03654910798546,188.71368296951098,24.499797877501265,0.22412473348462636,0.9010069021507336,176.61623127749127
factorial_sensitivity,oxygen,1000000000.0,1e-09,20.0,0.1,8.330000000000001e-20,0.1,0.201090316163493,1.0086276990053336,1.8409342525151382,2.2043587585437985,219.7293523281497,492.10518668998697,664.8315734169354,727.5010688463494,489.9959575500253,0.49574796246994735,0.9966964633145807,766.2116494183647
factorial_sensitivity,oxygen,1000000000.0,1e-09,20.0,0.1,8.33e-19,1.0,0.201090316163493,1.0086276990053336,1.8409342525151382,2.2043587585437985,69.48452221505747,155.61732383227354,210.23820323909683,230.05603777614286,154.95032701332585,0.49574796246994735,0.9966964633145807,242.29739819164612
factorial_sensitivity,oxygen,1000000000.0,1e-09,20.0,0.1,8.33e-18,10.0,0.201090316163493,1.0086276990053336,1.8409342525151382,2.2043587585437985,21.972935232814972,49.2105186689987,66.48315734169354,72.75010688463495,48.99959575500253,0.49574796246994735,0.9966964633145807,76.62116494183647
factorial_sensitivity,oxygen,1000000000.0,1e-09,20.0,0.5,8.330000000000001e-20,0.1,0.20545605483528057,1.043162057475908,2.009395607004634,3.211737582388286,222.1017443299379,500.45886686638687,694.5847139485958,878.1375006006596,489.9959575500253,0.47988468889074387,0.9848346186528878,963.4622101378475
factorial_sensitivity,oxygen,1000000000.0,1e-09,20.0,0.5,8.33e-19,1.0,0.20545605483528057,1.043162057475908,2.009395607004634,3.211737582388286,70.23473843789915,158.25898945247565,219.64697240140885,277.6914600705562,154.95032701332585,0.47988468889074387,0.9848346186528878,304.6735023535367
factorial_sensitivity,oxygen,1000000000.0,1e-09,20.0,0.5,8.33e-18,10.0,0.20545605483528057,1.043162057475908,2.009395607004634,3.211737582388286,22.210174432993792,50.04588668663869,69.45847139485959,87.81375006006594,48.99959575500253,0.47988468889074387,0.9848346186528878,96.34622101378474
