contrast,control_run_id,delta_slope_log10_ratio_per_h,delta_tail_median_log10_ratio,run_id,samples_control,samples_treatment,seed,slope_log10_ratio_per_h_control,slope_log10_ratio_per_h_treatment,stage,t_common_s,tail_median_log10_ratio_control,tail_median_log10_ratio_treatment,window_s
producer_minus_null,A_kd1e-06_null_s20260911,0.022987897210711174,-0.013465685367676361,A_kd1e-06_producer_s20260911,13,13,20260911,0.0007737427136200762,0.02376163992433125,A,16800.0,-0.0012456955870233327,-0.014711380954699694,7200
producer_minus_null,A_kd1e-06_null_s20260913,0.01951224998021367,-0.008710864059719055,A_kd1e-06_producer_s20260913,13,13,20260913,0.0022342686857399797,0.02174651866595365,A,16800.0,-0.0011412290942351732,-0.009852093153954227,7200
producer_minus_null,A_kd1e-06_null_s20260917,0.015472229516168175,-0.04160697243143208,A_kd1e-06_producer_s20260917,13,13,20260917,0.0018220422130541853,0.01729427172922236,A,16800.0,-0.0072982804137685766,-0.048905252845200656,7200
producer_minus_null,A_kd1e-05_null_s20260911,0.1097329701749926,0.04998394240546522,A_kd1e-05_producer_s20260911,13,13,20260911,0.0007737427136200762,0.11050671288861268,A,16800.0,-0.0012456955870233327,0.04873824681844189,7200
producer_minus_null,A_kd1e-05_null_s20260913,0.09644532262020464,0.029272606917612572,A_kd1e-05_producer_s20260913,13,13,20260913,0.0022342686857399797,0.09867959130594461,A,16800.0,-0.0011412290942351732,0.0281313778233774,7200
producer_minus_null,A_kd1e-05_null_s20260917,0.10009069197670273,0.007801372832498987,A_kd1e-05_producer_s20260917,13,13,20260917,0.0018220422130541853,0.10191273418975691,A,16800.0,-0.0072982804137685766,0.0005030924187304105,7200
producer_minus_null,A_kd1e-04_null_s20260911,0.4388329625705797,0.324496020232978,A_kd1e-04_producer_s20260911,13,13,20260911,0.0007737427136200762,0.43960670528419976,A,16800.0,-0.0012456955870233327,0.3232503246459547,7200
producer_minus_null,A_kd1e-04_null_s20260913,0.4843496366637863,0.37769175686199846,A_kd1e-04_producer_s20260913,13,13,20260913,0.0022342686857399797,0.4865839053495263,A,16800.0,-0.0011412290942351732,0.37655052776776327,7200
producer_minus_null,A_kd1e-04_null_s20260917,0.40498727209541796,0.3441790810111022,A_kd1e-04_producer_s20260917,13,13,20260917,0.0018220422130541853,0.40680931430847217,A,16800.0,-0.0072982804137685766,0.3368808005973336,7200
producer_minus_null,A_kd1e-03_null_s20260911,0.8804593485813874,0.9734699576259639,A_kd1e-03_producer_s20260911,13,13,20260911,0.0007737427136200762,0.8812330912950075,A,16800.0,-0.0012456955870233327,0.9722242620389405,7200
producer_minus_null,A_kd1e-03_null_s20260913,0.852065191510549,0.918768093754363,A_kd1e-03_producer_s20260913,13,13,20260913,0.0022342686857399797,0.854299460196289,A,16800.0,-0.0011412290942351732,0.9176268646601278,7200
producer_minus_null,A_kd1e-03_null_s20260917,0.7220337782951757,1.0434942174570074,A_kd1e-03_producer_s20260917,13,13,20260917,0.0018220422130541853,0.7238558205082298,A,16800.0,-0.0072982804137685766,1.0361959370432388,7200
