analysis_error,arm,axis_amplitude,axis_b12_initial_conc_mol_m3,axis_kd_corrinoid_btuB_mol_m3,axis_nominal_target_per_generation,axis_repeat,axis_selected_amplitude,axis_selected_b12,axis_selected_kd,axis_selected_kd_corrinoid_btuB_mol_m3,axis_sos_lysis_prob,execution_source_sha_expected,model_baseline_sha,output_path,output_status,run_id,seed,stage
,qualification,,,,,1,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,Q_repeat1_s20260911,20260911,Q
,qualification,,,,,2,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,Q_repeat2_s20260911,20260911,Q
,producer,,,1e-06,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-06_producer_s20260911,20260911,A
,producer,,,1e-06,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-06_producer_s20260913,20260913,A
,producer,,,1e-06,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-06_producer_s20260917,20260917,A
,null,,,1e-06,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-06_null_s20260911,20260911,A
,null,,,1e-06,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-06_null_s20260913,20260913,A
,null,,,1e-06,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-06_null_s20260917,20260917,A
,producer,,,1e-05,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-05_producer_s20260911,20260911,A
,producer,,,1e-05,,,,,,,,EXECUTION_SOURCE_SHA_REQUIRED_AFTER_CAMPAIGN_COMMIT,ad037ef96f3433a1ad4008994956f89c68a3ed39,,missing,A_kd1e-05_producer_s20260913,20260913,A
