run_id,seed,amplitude,grid_step,t_grid_s,n_active_sources,active_source_weight_sum,near_field_0_10,intermediate_10_25,far_field_50_100,r50_um,r90_um,r50_shape_um,r90_shape_um,bin_0-10_mean,bin_0-10_n_voxels,bin_10-25_mean,bin_10-25_n_voxels,bin_25-50_mean,bin_25-50_n_voxels,bin_50-75_mean,bin_50-75_n_voxels,bin_75-100_mean,bin_75-100_n_voxels
C_amp0_producer_s20260911,20260911,0.0,120,7200.0,8,8.0,2.6768290933515463e-08,2.1053765423230582e-08,1.4476895834830098e-08,26.73708294475833,41.76818213310891,22.75,51.25,2.6768290933515463e-08,4048,2.1053765423230582e-08,44881,1.7857247457513387e-08,73468,1.4476895834830098e-08,2603,nan,0
C_amp0_producer_s20260911,20260911,0.0,180,10800.0,10,1.3988800386943647,2.718356200424084e-08,2.0988895007774558e-08,1.2211052025428598e-08,28.996764994205602,54.59308051108824,21.25,63.75,2.718356200424084e-08,4374,2.0988895007774558e-08,35499,1.614123894636372e-08,58886,1.2294519946835783e-08,25757,7.769144480625047e-09,484
C_amp0_producer_s20260911,20260911,0.0,240,14400.0,38,8.484379985696954,1.9334485104894256e-08,1.7624975950179732e-08,nan,17.80073514159551,27.121776757382843,22.25,44.25,1.9334485104894256e-08,14028,1.7624975950179732e-08,89421,1.57700777482465e-08,21551,nan,0,nan,0
C_amp0_producer_s20260911,20260911,0.0,300,18000.0,95,89.57797241072392,2.662557575457328e-08,2.344675601572371e-08,1.8910457487697972e-08,15.975889576111838,30.704315586163236,23.25,48.25,2.662557575457328e-08,21665,2.344675601572371e-08,75201,1.928354596482741e-08,27998,1.8910457487697972e-08,136,nan,0
C_amp0_producer_s20260913,20260913,0.0,120,7200.0,3,3.0,4.032042992295439e-08,2.36476521372499e-08,1.6077290918548616e-08,36.99251560832613,50.3907907138067,19.25,55.25,4.032042992295439e-08,1338,2.36476521372499e-08,16941,1.869745871676106e-08,90441,1.6077290918548616e-08,16280,nan,0
C_amp0_producer_s20260913,20260913,0.0,240,14400.0,36,6.484379985696953,2.1675028351528146e-08,1.9116303910949337e-08,nan,19.69397582844518,31.329064656825608,18.75,37.75,2.1675028351528146e-08,11666,1.9116303910949337e-08,73482,1.7036769681366066e-08,39852,nan,0,nan,0
C_amp0_producer_s20260913,20260913,0.0,300,18000.0,82,75.59628804961265,2.4937395079789075e-08,2.2547327958994816e-08,nan,15.288711462716808,25.486523771945382,18.75,38.75,2.4937395079789075e-08,22086,2.2547327958994816e-08,86715,1.862152635181035e-08,16199,nan,0,nan,0
C_amp0_producer_s20260917,20260917,0.0,60,3600.0,4,0.19028219990281525,3.379942778299845e-08,2.1618937582966763e-08,1.3537580141090632e-08,38.97948896014606,53.99756439058874,19.25,58.75,3.379942778299845e-08,1427,2.1618937582966763e-08,16287,1.5459093261680386e-08,79064,1.3537580141090632e-08,28222,nan,0
C_amp0_producer_s20260917,20260917,0.0,120,7200.0,5,5.0,2.9429589754311964e-08,2.103407377194211e-08,1.5388294379253774e-08,30.481197425035454,45.386804676533345,24.75,59.25,2.9429589754311964e-08,2614,2.103407377194211e-08,32303,1.745265803480365e-08,83249,1.5388294379253774e-08,6834,nan,0
C_amp0_producer_s20260917,20260917,0.0,180,10800.0,10,1.1648407499986075,3.730330961706231e-08,3.0960367127846e-08,1.4281364888282222e-08,25.776172637625653,39.415503687464515,17.25,46.25,3.730330961706231e-08,4570,3.0960367127846e-08,47344,2.583234469839801e-08,69294,1.4281364888282222e-08,3792,nan,0
C_amp0_producer_s20260917,20260917,0.0,240,14400.0,43,7.431726968353242,2.2704336886882774e-08,2.026178684624097e-08,nan,17.049999796135303,25.922361684240883,16.75,35.25,2.2704336886882774e-08,15485,2.026178684624097e-08,90992,1.7176703812806166e-08,18523,nan,0,nan,0
C_amp0_producer_s20260917,20260917,0.0,300,18000.0,101,90.90358989386334,2.6426124025790798e-08,2.3271152301119643e-08,nan,16.974250981898635,29.33973051895467,21.25,43.75,2.6426124025790798e-08,18830,2.3271152301119643e-08,77826,1.9769462434136713e-08,28344,nan,0,nan,0
C_amp15_producer_s20260911,20260911,15.0,120,7200.0,5,5.0,2.5597016779469934e-07,1.4070337634279879e-07,7.068918304920667e-08,31.22197233130076,47.12813217261294,15.25,54.25,2.5597016779469934e-07,2215,1.4070337634279879e-07,26822,9.3933476008002e-08,84849,7.068918304920667e-08,11114,nan,0
C_amp15_producer_s20260911,20260911,15.0,180,10800.0,9,1.263544755457752,1.712782733320852e-08,1.1875349544270317e-08,6.4007261234589324e-09,25.212303994765286,40.47964400835759,18.75,47.25,1.712782733320852e-08,4244,1.1875349544270317e-08,49146,9.548822573118643e-09,69289,6.4007261234589324e-09,2321,nan,0
C_amp15_producer_s20260911,20260911,15.0,240,14400.0,43,5.702397534826468,1.274189740129635e-07,1.0853536621771348e-07,nan,16.757056070410975,26.5373319064094,19.75,40.25,1.274189740129635e-07,17028,1.0853536621771348e-07,87518,9.38474270710163e-08,20454,nan,0,nan,0
C_amp15_producer_s20260911,20260911,15.0,300,18000.0,117,111.46095276637604,1.2696596083359343e-07,1.0413084026056296e-07,nan,14.397231744611116,24.85046656002543,17.25,40.25,1.2696596083359343e-07,25217,1.0413084026056296e-07,82194,7.21626780655015e-08,17589,nan,0,nan,0
C_amp15_producer_s20260913,20260913,15.0,120,7200.0,3,3.0,2.637819679711842e-07,1.2901962407484977e-07,6.361945149066086e-08,34.02519665237906,48.62377843287597,17.25,59.75,2.637819679711842e-07,1417,1.2901962407484977e-07,19624,8.784794994650662e-08,89368,6.362759346711148e-08,14578,5.448916436010751e-08,13
C_amp15_producer_s20260913,20260913,15.0,180,10800.0,5,0.0915781944436709,7.679751299420275e-08,4.475358003887819e-08,2.598340204979171e-08,29.252721028375884,44.91399821614718,17.25,52.25,7.679751299420275e-08,2620,4.475358003887819e-08,32502,3.259013516281023e-08,82660,2.598340204979171e-08,7218,nan,0
C_amp15_producer_s20260913,20260913,15.0,240,14400.0,38,5.773366191058913,1.639049390065326e-07,1.4034112535771345e-07,nan,17.868703252741664,27.09455959645441,19.25,39.75,1.639049390065326e-07,13990,1.4034112535771345e-07,88638,1.301371506887764e-07,22372,nan,0,nan,0
C_amp15_producer_s20260913,20260913,15.0,300,18000.0,91,81.53421532193097,1.4689036575612939e-07,1.2480545559500305e-07,nan,14.677644503455145,23.756772601206617,17.25,38.25,1.4689036575612939e-07,23558,1.2480545559500305e-07,87703,9.208861603142935e-08,13739,nan,0,nan,0
C_amp15_producer_s20260917,20260917,15.0,60,3600.0,4,0.19028219990281525,2.872551557096018e-07,1.5075797289920254e-07,6.297510518179055e-08,36.385367251157966,52.87707955982275,11.25,51.75,2.872551557096018e-07,1427,1.5075797289920254e-07,16287,8.360410879760316e-08,79064,6.297510518179055e-08,28222,nan,0
C_amp15_producer_s20260917,20260917,15.0,120,7200.0,3,3.0,3.519573066286436e-07,1.717303921449238e-07,6.42944924598976e-08,33.8024545090671,53.84369551648079,9.25,55.25,3.519573066286436e-07,1482,1.717303921449238e-07,19186,1.0614286439695947e-07,72652,6.492512643756806e-08,30768,4.301889352901485e-08,912
C_amp15_producer_s20260917,20260917,15.0,180,10800.0,5,1.0732625555549367,5.275956816296937e-07,2.886215914634666e-07,1.359091937683089e-07,31.40398538045048,47.26539538008358,15.75,51.75,5.275956816296937e-07,2369,2.886215914634666e-07,25451,1.860823968324983e-07,85226,1.359091937683089e-07,11954,nan,0
C_amp15_producer_s20260917,20260917,15.0,240,14400.0,38,5.890385835406791,1.6470963652035407e-07,1.3497094662386752e-07,nan,17.49257150637146,26.355558214173897,16.25,37.25,1.6470963652035407e-07,14225,1.3497094662386752e-07,89565,1.0832273155681348e-07,21210,nan,0,nan,0
C_amp15_producer_s20260917,20260917,15.0,300,18000.0,88,84.42432148859858,1.6267702030036068e-07,1.3590265345366686e-07,nan,15.989781790905887,25.841683106609562,18.25,40.75,1.6267702030036068e-07,19661,1.3590265345366686e-07,86889,1.069542459030693e-07,18450,nan,0,nan,0
C_amp60_producer_s20260911,20260911,60.0,120,7200.0,1,1.0,3.853601242953933e-06,1.2375864188017615e-06,1.2915251008333355e-07,40.24049860396955,73.90635085802953,8.75,41.25,3.853601242953933e-06,477,1.2375864188017615e-06,5025,4.0558640028596736e-07,33005,1.6479898210666366e-07,46708,8.119538653745813e-08,34718
C_amp60_producer_s20260911,20260911,60.0,180,10800.0,5,0.0915781944436709,4.3239853303097754e-07,2.0338027374319568e-07,6.64033214830917e-08,27.82887858363417,46.464506527572944,11.75,47.75,4.3239853303097754e-07,2298,2.0338027374319568e-07,30180,1.209280287245949e-07,76052,6.64033214830917e-08,16470,nan,0
C_amp60_producer_s20260911,20260911,60.0,240,14400.0,51,9.892679734729283,4.172111579743858e-07,3.1499795684404403e-07,nan,15.95092765450576,24.379474676224273,14.75,35.75,4.172111579743858e-07,17402,3.1499795684404403e-07,94189,2.5167822398437267e-07,13409,nan,0,nan,0
C_amp60_producer_s20260911,20260911,60.0,300,18000.0,120,109.90358989386334,3.6462806212498666e-07,2.7136655706912533e-07,1.2594513296279142e-07,14.126420998485681,23.967307275189164,14.75,43.25,3.6462806212498666e-07,23873,2.7136655706912533e-07,82205,1.4925036357209834e-07,18876,1.2594513296279142e-07,46,nan,0
