run_id,seed,amplitude,t_s,source_age_s,release_weight,r50_um,r90_um,near_field_0_10_mean,profile_complete
SS_amp0_producer_s20260911,20260911,0.0,360.0,120.0,0.6703200460356393,28.740007172740945,37.251884505728235,3.431552118405672e-07,True
SS_amp0_producer_s20260911,20260911,0.0,480.0,240.0,0.44932896411722156,28.740007172740945,37.251884505728235,2.3002381739833852e-07,True
SS_amp0_producer_s20260911,20260911,0.0,600.0,360.0,0.30119421191220214,28.74000717274095,37.251884505728235,1.5418957586774775e-07,True
SS_amp0_producer_s20260911,20260911,0.0,720.0,480.0,0.20189651799465538,28.740007172740945,37.251884505728235,1.0335636359388435e-07,True
SS_amp0_producer_s20260911,20260911,0.0,840.0,600.0,0.1353352832366127,28.740007172740945,37.251884505728235,6.928184240232884e-08,True
SS_amp0_producer_s20260911,20260911,0.0,960.0,720.0,0.09071795328941251,28.74000717274095,37.251884505728235,4.644100778856297e-08,True
SS_amp0_producer_s20260911,20260911,0.0,1080.0,840.0,0.06081006262521797,28.740007172740945,37.251884505728235,3.113033847877101e-08,True
SS_amp0_producer_s20260911,20260911,0.0,1200.0,960.0,0.04076220397836621,28.740007172740945,37.251884505728235,2.0867289922194823e-08,True
SS_amp0_producer_s20260911,20260911,0.0,1320.0,1080.0,0.02732372244729256,28.740007172740945,37.251884505728235,1.3987762741284667e-08,True
SS_amp0_producer_s20260911,20260911,0.0,1440.0,1200.0,0.01831563888873418,28.740007172740945,37.251884505728235,9.376277764673538e-09,True
SS_amp0_producer_s20260911,20260911,0.0,1560.0,1320.0,0.012277339903068436,28.740007172740945,37.251884505728235,6.285106942858906e-09,True
SS_amp0_producer_s20260911,20260911,0.0,1680.0,1440.0,0.00822974704902003,28.74000717274095,37.251884505728235,4.213033175276099e-09,True
SS_amp0_producer_s20260913,20260913,0.0,360.0,120.0,0.6703200460356393,28.720586468965557,37.249586853837776,4.0865960903321266e-07,True
SS_amp0_producer_s20260913,20260913,0.0,480.0,240.0,0.44932896411722156,28.72058646896556,37.24958685383778,2.739327279400495e-07,True
SS_amp0_producer_s20260913,20260913,0.0,600.0,360.0,0.30119421191220214,28.720586468965557,37.24958685383778,1.836225988034422e-07,True
SS_amp0_producer_s20260913,20260913,0.0,720.0,480.0,0.20189651799465538,28.72058646896556,37.24958685383778,1.2308590888310713e-07,True
SS_amp0_producer_s20260913,20260913,0.0,840.0,600.0,0.1353352832366127,28.72058646896556,37.24958685383778,8.250695210886285e-08,True
SS_amp0_producer_s20260913,20260913,0.0,960.0,720.0,0.09071795328941251,28.72058646896556,37.24958685383778,5.530606393587323e-08,True
SS_amp0_producer_s20260913,20260913,0.0,1080.0,840.0,0.06081006262521797,28.72058646896556,37.24958685383778,3.7072763323544554e-08,True
SS_amp0_producer_s20260913,20260913,0.0,1200.0,960.0,0.04076220397836621,28.720586468965557,37.24958685383778,2.485061641770676e-08,True
SS_amp0_producer_s20260913,20260913,0.0,1320.0,1080.0,0.02732372244729256,28.720586468965557,37.24958685383778,1.6657866341131203e-08,True
SS_amp0_producer_s20260913,20260913,0.0,1440.0,1200.0,0.01831563888873418,28.720586468965557,37.24958685383778,1.1166101732642597e-08,True
SS_amp0_producer_s20260913,20260913,0.0,1560.0,1320.0,0.012277339903068436,28.720586468965557,37.24958685383778,7.484861827463613e-09,True
SS_amp0_producer_s20260913,20260913,0.0,1680.0,1440.0,0.00822974704902003,28.720586468965564,37.24958685383778,5.017252924755811e-09,True
SS_amp0_producer_s20260917,20260917,0.0,360.0,120.0,0.6703200460356393,28.732108404702174,37.250744420361634,3.5822252236094316e-07,True
SS_amp0_producer_s20260917,20260917,0.0,480.0,240.0,0.44932896411722156,28.732108404702178,37.250744420361634,2.4012373767999023e-07,True
SS_amp0_producer_s20260917,20260917,0.0,600.0,360.0,0.30119421191220214,28.732108404702174,37.250744420361634,1.6095975489590083e-07,True
SS_amp0_producer_s20260917,20260917,0.0,720.0,480.0,0.20189651799465538,28.732108404702178,37.250744420361634,1.0789455031170549e-07,True
SS_amp0_producer_s20260917,20260917,0.0,840.0,600.0,0.1353352832366127,28.732108404702178,37.250744420361634,7.232387993193698e-08,True
SS_amp0_producer_s20260917,20260917,0.0,960.0,720.0,0.09071795328941251,28.732108404702178,37.250744420361634,4.848014652545205e-08,True
SS_amp0_producer_s20260917,20260917,0.0,1080.0,840.0,0.06081006262521797,28.732108404702178,37.250744420361634,3.249721405075556e-08,True
SS_amp0_producer_s20260917,20260917,0.0,1200.0,960.0,0.04076220397836621,28.732108404702174,37.250744420361634,2.1783534018532497e-08,True
SS_amp0_producer_s20260917,20260917,0.0,1320.0,1080.0,0.02732372244729256,28.732108404702178,37.250744420361634,1.4601939526121616e-08,True
